id,title,media_type,original_title,release_date,year,format,genre,director,rating,user_rating,tmdb_id,tmdb_media_type,tmdb_url,poster_path,backdrop_path,overview,trailer_url,runtime,upc,location,notes,season_number,episode_number,episode_title,network,type_details,series_id,space_id,library_id,import_source,added_by,created_at,updated_at,signed_by,signed_role,signed_on,signed_at,signed_proof_path,cast_members,owned_formats,estimated_value_low,estimated_value_mid,estimated_value_high,valuation_currency,valuation_source,valuation_last_updated,tv_season_count,tv_completed_season_count,tv_all_seasons_completed,cast
3828,The Armstrong and Miller Show,tv_series,The Armstrong & Miller Show,2007-10-26T00:00:00.000Z,2007,Digital,,,,,3829,tv,https://www.themoviedb.org/tv/3829,/uYcCMovg7Sy2A8voBvDtfwLf0yK.jpg,/iJgPKQxnbqUuv2fR6OT3vdaXvEk.jpg,"Comedians Alexander Armstrong and Ben Miller present a series of skits. Many characters and scenarios are recurring, e.g. Enlightenment, the Origins of... (featuring cavepeople), the WW2 fighter pilots who speak like vacuous teens, the Russian football club owner.",,30,,,Imported from Plex section 2,,,,Absolutely Television,,,1,7,plex,1,2026-03-08T16:47:38.458Z,2026-04-20T05:29:49.514Z,,,,,,"Ben Miller, Alexander Armstrong, Karen Hayley, Jason Lewis","[""digital""]",,,,,,,3,3,true,"Ben Miller, Alexander Armstrong, Karen Hayley, Jason Lewis"
3829,Arte,tv_series,アルテ,2020-04-04T00:00:00.000Z,2020,Digital,,Takayuki Hamana,,,95697,tv,https://www.themoviedb.org/tv/95697,/vtlujR0LEjyBTT5s0CEtYdqeCaw.jpg,/3t77iT4neKIZktuwwNhaIdT8NB8.jpg,"Arte was born into an aristocratic family in Florence during the 16th century Renaissance era. Being female, it was unheard of for one to become an artist. She is willing to cast aside her aristocratic lifestyle to become an artist.",,24,,,Imported from Plex section 2,,,,Seven Arcs,,,1,7,plex,1,2026-03-08T16:47:38.664Z,2026-04-20T05:29:49.807Z,,,,,,Mikako Komatsu,"[""digital""]",,,,,,,1,1,true,Mikako Komatsu
3830,As Time Goes By,tv_series,,1992-01-12T00:00:00.000Z,1992,Digital,,Sydney Lotterby,,,88,tv,https://www.themoviedb.org/tv/88,/hgpSfLu6uzGRB4SLz6Jtai5T3Xq.jpg,/dyZThM0dYT4s0MXp2KK3Zj2D0v8.jpg,"Lionel Hardcastle and Jean Pargetter were lovers many years ago at the time of the Korean War. They are separated by a misunderstanding but meet again by chance when Lionel needs a secretary from Jean's firm. He takes her daughter, Judith, out on a date and discovers she is Jean's daughter. The two reunite and fall back in love.",,30,,,Imported from Plex section 2,,,,BBC,,,1,7,plex,1,2026-03-08T16:47:38.857Z,2026-04-20T05:29:50.085Z,,,,,,"Judi Dench, Geoffrey Palmer, Moira Brooker, Jenny Funnell, Philip Bretherton","[""digital""]",,,,,,,10,10,true,"Judi Dench, Geoffrey Palmer, Moira Brooker, Jenny Funnell, Philip Bretherton"
3831,Atlantis,tv_series,Atlantis (2013),2013-09-28T00:00:00.000Z,2013,Digital,,,,,47054,tv,https://www.themoviedb.org/tv/47054,/bmdlBu7y0pZq3KZwtFFHzWPEsbP.jpg,/nMdyDnHiRpJ2sfqk3JfUb3CvME4.jpg,"Far from home, Jason washes up on the shores of the ancient and mysterious city of Atlantis.",,45,,,Imported from Plex section 2,,,,BBC Cymru Wales,,,1,7,plex,1,2026-03-08T16:47:39.040Z,2026-04-20T05:29:50.420Z,,,,,,"Mark Addy, Jack Donnelly, Robert Emms, Aiysha Hart, Sarah Parish, Juliet Stevenson, Jemima Rooper, Amy Manson","[""digital""]",,,,,,,2,2,true,"Mark Addy, Jack Donnelly, Robert Emms, Aiysha Hart, Sarah Parish, Juliet Stevenson, Jemima Rooper, Amy Manson"
3832,Avatar: The Last Airbender,tv_series,,2005-02-20T00:00:00.000Z,2005,Digital,,Heiko von Drengenberg,,,246,tv,https://www.themoviedb.org/tv/246,/9RQhVb3r3mCMqYVhLoCu4EvuipP.jpg,/7oBGhqJIghRBvOwo5Qe0yM0cnMc.jpg,"In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",,24,,,Imported from Plex section 2,,,,Nickelodeon Animation Studio,,,1,7,plex,1,2026-03-08T16:47:39.246Z,2026-04-20T05:29:50.684Z,,,,,,"Zach Tyler Eisen, Mae Whitman, Jack De Sena, Dante Basco, Michaela Jill Murphy, Dee Bradley Baker","[""digital""]",,,,,,,3,1,false,"Zach Tyler Eisen, Mae Whitman, Jack De Sena, Dante Basco, Michaela Jill Murphy, Dee Bradley Baker"
3833,The Avengers,tv_series,,1961-01-07T00:00:00.000Z,1961,Digital,,,,,2473,tv,https://www.themoviedb.org/tv/2473,/fQ4GHecDFEAmJcwc10zUrdIDLFd.jpg,/AqZ48TMJRPCpbuy09S0RXFAhvFa.jpg,"A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominantly female partners. Jonathan Steed - an urbane, proper gentleman spy - teams with various assistants throughout the series' run, including Dr. David Keel, Cathy Gale, Emma Peel and Tara King, to repeatedly save the world from diabolical schemes plotted by equally diabolical evil-doers (among them robots and man-eating monsters).",,50,,,Imported from Plex section 2,,,,Associated British Picture Corporation,,,1,7,plex,1,2026-03-08T16:47:39.475Z,2026-04-20T05:29:50.990Z,,,,,,"Patrick Macnee, Linda Thorson, William Lucas","[""digital""]",,,,,,,5,4,false,"Patrick Macnee, Linda Thorson, William Lucas"
3834,Avenue 5,tv_series,,2020-01-19T00:00:00.000Z,2020,Digital,,,,,90811,tv,https://www.themoviedb.org/tv/90811,/inSe4HBqnwIoeqoChGlagVs0avG.jpg,/suA6aZe1OCTtnv4W3nfDM8GiSaC.jpg,"The troubled crew of Avenue 5, a space cruise ship filled with spoiled, rich, snotty space tourists, must try and keep everyone calm after their ship gets thrown off course into space and ends up needing three years to return to Earth.",,30,,,Imported from Plex section 2,,,,HBO,,,1,7,plex,1,2026-03-08T16:47:39.749Z,2026-04-20T05:29:51.404Z,,,,,,"Hugh Laurie, Josh Gad, Lenora Crichlow, Zach Woods, Nikki Amuka-Bird, Suzy Nakamura, Ethan Phillips, Rebecca Front","[""digital""]",,,,,,,2,2,true,"Hugh Laurie, Josh Gad, Lenora Crichlow, Zach Woods, Nikki Amuka-Bird, Suzy Nakamura, Ethan Phillips, Rebecca Front"
3835,Away,tv_series,,2020-09-04T00:00:00.000Z,2020,Digital,,,,,89233,tv,https://www.themoviedb.org/tv/89233,/lkT776mSvQ9wZ8wkYsnpQuogp10.jpg,/vn0QIrNW5suBiF8BXnbp1r27guN.jpg,"American astronaut Emma Green must leave her husband and teenage daughter behind to command an international space crew embarking upon a treacherous mission. A series about hope, humanity and how we need one another if we are to achieve impossible things.",,60,,,Imported from Plex section 2,,,,True Jack Productions,,,1,7,plex,1,2026-03-08T16:47:39.954Z,2026-04-20T05:29:51.680Z,,,,,,"Hilary Swank, Mark Ivanir, Ray Panthaki, Vivian Wu, Ato Essandoh, Talitha Eliana Bateman","[""digital""]",,,,,,,1,1,true,"Hilary Swank, Mark Ivanir, Ray Panthaki, Vivian Wu, Ato Essandoh, Talitha Eliana Bateman"
3836,Bad Education,tv_series,,2012-08-14T00:00:00.000Z,2012,Digital,,,,,58460,tv,https://www.themoviedb.org/tv/58460,/pQ3OYgb9Q34NZPsTs99l4U2FdIn.jpg,/xz66bdvpCs7JQhmgKnQMmq04TzB.jpg,Comedy series about a teacher who is a bigger kid than the kids he teaches.,,30,,,Imported from Plex section 2,,,,Tiger Aspect,,,1,7,plex,1,2026-03-08T16:47:40.155Z,2026-04-20T05:29:51.966Z,,,,,,"Mathew Horne, Jack Binstead, Layton Williams, Charlie Wernham, Laura Marcus","[""digital""]",,,,,,,5,5,true,"Mathew Horne, Jack Binstead, Layton Williams, Charlie Wernham, Laura Marcus"
3837,The Batman,tv_series,,2004-09-11T00:00:00.000Z,2004,Digital,,,,,2022,tv,https://www.themoviedb.org/tv/2022,/3w7koeOR2x71XYMJDGpygxYtScI.jpg,/ArED6kTw15Ka5GCvvfXFKanvqsR.jpg,"This animated adventure series of Bruce Wayne, billionaire by day, crime fighter by night, starts as Wayne balances life as a free-wheeling bachelor, with his role as the Caped Crusader. He's joined on occasion by Robin and Batgirl. Black Mask, Killer Moth, the Everywhere Man, and a brand-new Clayface join The Joker, Penguin, and The Riddler in ceaselessly tormenting Gotham City. Can Batman stop them once and for all?",,22,,,Imported from Plex section 2,,,,Warner Bros. Animation,,,1,7,plex,1,2026-03-08T16:47:40.373Z,2026-04-20T05:29:52.242Z,,,,,,"Rino Romano, Evan Sabara, Danielle Judovits, Alastair Duncan","[""digital""]",,,,,,,5,5,true,"Rino Romano, Evan Sabara, Danielle Judovits, Alastair Duncan"
3838,Batman: Caped Crusader,tv_series,,2024-08-01T00:00:00.000Z,2024,Digital,,,,,125909,tv,https://www.themoviedb.org/tv/125909,/imuZQcnPNKNygPw28TESUq4tNsb.jpg,/vTqkpDUe1DUUPcHDpcf0RT0gIQ0.jpg,"Welcome to Gotham City, where the corrupt outnumber the good, criminals run rampant and law-abiding citizens live in a constant state of fear. Forged in the fire of tragedy, wealthy socialite Bruce Wayne becomes something both more and less than human: The Batman. His one-man crusade for justice attracts unexpected allies within the GCPD and City Hall, but his heroic actions spawn deadly, unforeseen ramifications.",,26,,,Imported from Plex section 2,,,,Warner Bros. Animation,,,1,7,plex,1,2026-03-08T16:47:40.603Z,2026-04-20T05:29:52.549Z,,,,,,Hamish Linklater,"[""digital""]",,,,,,,1,1,true,Hamish Linklater
